Documento	Id
Formação estrelar na Grande Nuvem de Magalhães , uma galáxia irregular . Mosaico da Nebulosa do Caranguejo , remanescente de uma supernova . Astronomia é uma ciência natural que estuda corpos celestes como estrelas , planetas , cometas , nebulosas , aglomerados de estrelas , galáxias e fenômenos que se originam fora da atmosfera da Terra como a radiação cósmica de fundo em micro-ondas . Preocupada com a evolução , a física e a química de objetos celestes , bem como a formação e o desenvolvimento do universo . A astronomia é uma das mais antigas ciências . Culturas pré-históricas deixaram registrados vários artefatos astronômicos , como Stonehenge , os montes de Newgrange e os menires . As primeiras civilizações , como os babilônios , gregos , chineses , indianos , persas e maias realizaram observações metódicas do céu noturno . No entanto , a invenção do telescópio permitiu o desenvolvimento da astronomia moderna . Historicamente , a astronomia incluiu disciplinas tão diversas como astrometria , navegação astronômica , astronomia observacional e a elaboração de calendários . Durante o período medieval , seu estudo era obrigatório e estava incluído no Quadrivium que , junto com o Trivium , compunha a metodologia de ensino das sete Artes liberais . Durante o século XX , o campo da astronomia profissional dividiu-se em dois ramos a astronomia observacional e a astronomia teórica . A primeira está focada na aquisição de dados a partir da observação de objetos celestes , que são então analisados utilizando os princípios básicos da física . Já a segunda é orientada para o desenvolvimento de modelos analíticos que descrevem objetos e fenômenos astronômicos . Os dois campos se complementam , com a astronomia teórica procurando explicar os resultados observacionais , bem com as observações sendo usadas para confirmar ou não os resultados teóricos . Os astrônomos amadores têm contribuído para muitas e importantes descobertas astronômicas . A astronomia é uma das poucas ciências onde os amadores podem desempenhar um papel ativo , especialmente na descoberta e observação de fenômenos transitórios . A Astronomia não deve ser confundida com a astrologia , sistema de crença que afirma que os assuntos humanos , como a personalidade , estão correlacionados com as posições dos objetos celestes . Embora os dois campos compartilhem uma origem comum , atualmente eles estão totalmente distintos .	1
Nebulosa planetária de Formiga . A ejecção de gás da estrela no centro da imagem tem padrões de simetria diferentes dos padrões caóticos esperados para uma explosão ordinária . Por ter um objeto de estudo tão vasto , a astronomia é dividida em muitas áreas . Uma distinção principal é entre a astronomia teórica e a observacional . Observadores usam vários meios para obter dados sobre diversos fenômenos , que são usados pelos teóricos para criar e testar teorias e modelos , para explicar observações e para prever novos resultados . O observador e o teórico não são necessariamente pessoas diferentes e , em vez de dois campos perfeitamente delimitados , há um contínuo de cientistas que põem maior ou menor ênfase na observação ou na teoria . Os campos de estudo podem também ser categorizados quanto ao assunto em geral de acordo com a região do espaço ex . Astronomia galáctica ou aos problemas por resolver tais como formação das estrelas ou cosmologia à forma como se obtém a informação essencialmente , que faixa do espectro eletromagnético é usada . Enquanto a primeira divisão se aplica tanto a observadores como também a teóricos , a segunda se aplica a observadores , pois os teóricos tentam usar toda informação disponível , em todos os comprimentos de onda , e observadores frequentemente observam em mais de uma faixa do espectro .	2
Astronomia extragaláctica exemplo de lente gravitacional . Esta imagem , captada pelo telescópio espacial Hubble , mostra vários objetos azuis em forma de espiral que , na verdade , são imagens múltiplas de uma mesma galáxia . A imagem original da galáxia é multiplicada pelo efeito de lente gravitacional causado pelo aglomerado de galáxias elípticas e espirais de cor amarela que aparecem no centro da fotografia . A lente gravitacional deve-se ao campo gravitacional gerado pelo aglomerado , que curva e distorce a luz de objetos mais distantes . Na astronomia , a principal forma de obter informação é através da detecção e análise da luz visível ou outras regiões da radiação eletromagnética . Mas a informação é adquirida também por raios cósmicos , neutrinos , e , no futuro próximo , ondas gravitacionais veja LIGO e LISA . Uma divisão tradicional da astronomia é dada pela faixa do espectro eletromagnético observado . Algumas partes do espectro podem ser observadas da superfície da Terra , enquanto outras partes só são observáveis de grandes altitudes ou no espaço .	3
A radioastronomia estuda a radiação com comprimento de onda maior que aproximadamente 1 milímetro . A radioastronomia é diferente da maioria das outras formas de astronomia observacional pelo fato de as ondas de rádio observáveis poderem ser tratadas como ondas ao invés de fótons discretos . Com isso , é relativamente mais fácil de medir a amplitude e a fase das ondas de rádio . Apesar de algumas ondas de rádio serem produzidas por objetos astronômicos na forma de radiação térmica , a maior parte das emissões de rádio que são observadas da Terra são vistas na forma de radiação síncrotron , que é produzida quando elétrons ou outras partículas eletricamente carregadas descrevem uma trajetória curva em um campo magnético . Adicionalmente , diversas linhas espectrais produzidas por gás interestelar , notadamente a linha espectral do hidrogênio de 21 cm , são observáveis no comprimento de onda de rádio . Uma grande variedade de objetos são observáveis no comprimento de onda de rádio , incluindo supernovas , gás interestelar , pulsares e núcleos de galáxias ativas .	4
A astronomia infravermelha lida com a detecção e análise da radiação infravermelha , cuja frequência é menor do que a da luz vermelha . Exceto por comprimentos de onda mais próximas à luz visível , a radiação infravermelha é na maior parte absorvida pela atmosfera , e a atmosfera produz emissão infravermelha numa quantidade significante . Consequentemente , observatórios de infravermelho precisam estar localizados em lugares altos e secos , ou no espaço . O espectro infravermelho é útil para estudar objetos que são muito frios para emitir luz visível , como os planetas e discos circunstrelares . Comprimentos de onda infravermelha maior podem também penetrar nuvens de poeira que bloqueiam a luz visível , permitindo a observação de estrelas jovens em nuvens moleculares e o centro de galáxias . Algumas moléculas radiam fortemente no infravermelho , e isso pode ser usado para estudar a química no espaço , assim como detectar água em cometas .	5
Historicamente , a astronomia óptica também chamada de astronomia da luz visível é a forma mais antiga da astronomia . Imagens ópticas eram originalmente desenhadas à mão . No final do século XIX e na maior parte do século XX as imagens eram criadas usando equipamentos fotográficos . Imagens modernas são criadas usando detectores digitais , principalmente detectores usando dispositivos de cargas acoplados CCDs . Apesar da luz visível estender de aproximadamente até 400 nm até 700 nm , o mesmo equipamento usado nesse comprimento de onda é também usado para observar radiação de luz visível próxima a ultravioleta e infravermelho .	6
A astronomia ultravioleta é normalmente usada para se referir a observações no comprimento de onda ultravioleta , aproximadamente entre 100 e 10 e 320 nm . A luz nesse comprimento de onda é absorvida pela atmosfera da Terra , então as observações devem ser feitas na atmosfera superior ou no espaço . A astronomia ultravioleta é mais utilizada para o estudo da radiação térmica e linhas de emissão espectral de estrelas azul quente Estrela OB que são muito brilhantes nessa banda de onda . Isso inclui estrelas azuis em outras galáxias , que têm sido alvos de várias pesquisas nesta área . Outros objetos normalmente observados incluem a nebulosa planetária , remanescente de supernova , e núcleos de galáxias ativas . Entretanto , a luz ultravioleta é facilmente absorvida pela poeira interestelar , e as medições da luz ultravioleta desses objetos precisam ser corrigidas .	7
A astronomia de raio-X é o estudo de objetos astronômicos no comprimento de onda de raio-X. Normalmente os objetos emitem radiação de raio-X como radiação síncrotron produzida pela oscilação de elétrons em volta de campos magnéticos , emissão termal de gases finos chamada de radiação Bremsstrahlung maiores que 107 kelvin , e emissão termal de gases grossos chamada radiação de corpo negro maiores que 107 kelvin . Como os raio-X são absorvidos pela atmosfera terrestre todas as observações devem ser feitas de balões de grande altitude , foguetes , ou naves espaciais . Fontes de raio-X notáveis incluem binário de raio X , pulsares , remanescentes de supernovas , galáxias elípticas , aglomerados de galáxias e núcleos galácticos ativos .	8
A astronomia de raios gama é o estudo de objetos astronômicos que usam os menores comprimentos de onda do espectro eletromagnético . Os raios gama podem ser observados diretamente por satélites como o observatório de raios Gama Compton ou por telescópios especializados chamados Cherenkov . Os telescópios Cherenkov não detectam os raios gama diretamente mas detectam flashes de luz visível produzidos quando os raios gama são absorvidos pela atmosfera da Terra . A maioria das fontes emissoras de raio gama são na verdade Erupções de raios gama , objetos que produzem radiação gama apenas por poucos milissegundos a até milhares de segundos antes de desaparecerem . Apenas 10 das fontes de raio gama são fontes não transcendentes , incluindo pulsares , estrelas de nêutrons , e candidatos a buracos negros como núcleos galácticos ativos .	9
Além da radiação eletromagnética outras coisas podem ser observadas da Terra que se originam de grandes distâncias . Na Astronomia de neutrinos , astrônomos usam laboratórios especiais subterrâneos como o SAGE , GALLEX e Kamioka II III para detectar neutrinos . Esses neutrinos se originam principalmente do Sol , mas também de supernovas . Raios cósmicos consistindo de partículas de energia muito elevada podem ser observadas chocando-se com a atmosfera da terra . No futuro , detectores de neutrino poderão ser sensíveis aos neutrinos produzidos quando raios cósmicos atingem a atmosfera da Terra . Foram construídos alguns observatórios de ondas gravitacionais como o Laser Interferometer Gravitational Observatory LIGO mas as ondas gravitacionais são extremamente difíceis de detectar . No final de 2015 , pesquisadores do projeto LIGO Laser Interferometer Gravitational-Wave Observatory observaram distorções no espaço e no tempo causadas por um par de buracos negros com trinta massas solares em processo de fusão . A astronomia planetária tem se beneficiado da observação direta pelos foguetes espaciais e amostras no retorno das missões . Essas missões incluem fly-by missions com sensores remotos veículos de aterrissagem que podem realizar experimentos no material da superfície missões que permitem ver remotamente material enterrado e missões de amostra que permitem um exame laboratorial direto .	10
Um dos campos mais antigos da astronomia e de todas as ciências , é a medição da posição dos objetos celestiais . Historicamente , o conhecimento preciso da posição do Sol , Lua , planetas e estrelas era essencial para a navegação celestial . A cuidadosa medição da posição dos planetas levou a um sólido entendimento das perturbações gravitacionais , e a capacidade de determinar as posições passadas e futuras dos planetas com uma grande precisão , um campo conhecido como mecânica celestial . Mais recentemente , o monitoramento de Objectos Próximos da Terra vai permitir a predição de encontros próximos , e possivelmente colisões , com a Terra . A medição do paralaxe estelar de estrelas próximas provêm uma linha de base fundamental para a medição de distâncias na astronomia que é usada para medir a escala do universo . Medições paralaxe de estrelas próximas provêm uma linha de base absoluta para as propriedades de estrelas mais distantes , porque suas propriedades podem ser comparadas . A medição da velocidade radial e o movimento próprio mostra a cinemática desses sistemas através da Via Láctea . Resultados astronômicos também são usados para medir a distribuição de matéria escura na galáxia . Durante a década de 1990 , as técnicas de astrometria para medir as stellar wobble foram usados para detectar planetas extrasolares orbitando a estrelas próximas .	11
Astronomia planetária ou ciências planetárias um dust devil literalmente , demônio da poeira marciano . A fotografia foi captada pela NASA Global Surveyor em órbita à volta de Marte . A faixa escura e longa é formada pelos movimentos em espiral da atmosfera marciana um fenómeno semelhante ao tornado . O dust devil o ponto preto está a subir a encosta da cratera . Os dust devils formam-se quando a atmosfera é aquecida por uma superfície quente e começa a rodar ao mesmo tempo que sobe . As linhas no lado direito da figura são dunas de areia no leito da cratera .	12
Localizada a uma distância de aproximadamente de oito minutos-luz da Terra , a estrela mais frequentemente estudada é o Sol , uma típica estrela anã da sequência principal da classe estrelar G2 V , com idade de aproximadamente 4,6 Gyr . O Sol não é considerado uma estrela variável , mas passa por mudanças periódicas em atividades conhecidas como ciclo solar , que se caracteriza por uma flutuação de cerca de 11 anos no número de mancha solares . Manchas solares são regiões de temperatura abaixo da média que estão associadas a uma intensa atividade magnética . O Sol tem aumentado constantemente de luminosidade no seu curso de vida , aumentando em 40 desde que se tornou uma estrela da sequência principal . O Sol também passa por mudanças periódicas de luminosidade que podem ter um impacto significativo na Terra . Por exemplo , se acredita que o mínimo de Maunder tenha causado a Pequena Idade do Gelo . A superfície externa visível do Sol é chamada fotosfera . Acima dessa camada há uma fina região conhecida como cromosfera . Essa é envolvida por uma região de transição de temperaturas cada vez mais elevadas , e então pela superquente corona . No centro do Sol está a região do núcleo , um volume com temperatura e pressão suficientes para uma fusão nuclear ocorrer . Acima do núcleo está a zona de radiação , onde o plasma se converte o fluxo de energia através da radiação . As camadas externas formam uma zona de convecção onde o gás material transporta a energia através do deslocamento físico do gás . Se acredita que essa zona de convecção cria a atividade magnética que gera as manchas solares . Um vento solar de partículas de plasma corre constantemente para fora do Sol até que atinge a heliosfera . Esse vento solar interage com a magnetosfera da Terra para criar os cinturões de Van Allen , assim como a aurora onde as linhas dos campos magnéticos da Terra descendem até a atmosfera da Terra .	13
Astronomia estelar Estudo das estrelas , em geral . Formação de estrelas Estudo das condições e dos processos que conduziram à formação das estrelas no interior de nuvens do gás , e o próprio processo da formação . Evolução estelar Estudo da evolução das estrelas , de sua formação a seu fim como um remanescente estelar . Formação estelar Estudo das condições e processos que levam à formação de estrelas no interior de nuvens de gás .	14
Estrutura dos braços espirais da Via Láctea . Astronomia galáctica Estudo da estrutura e componentes de nossa galáxia , seja através de dados relativos a objetos de nossa galáxia , seja através do estudo de galáxias próximas , que podem ser observadas em detalhe e que podem ser usadas para comparação com a nossa . Formação e evolução de galáxias Estudo da formação das galáxias e sua evolução ao estado atual observado .	15
Tópicos estudados pelos astrônomos teóricos são dinâmica e evolução estelar formação e evolução de galáxias estrutura em grande escala da matéria no Universo origem dos raios cósmicos relatividade geral e cosmologia física , incluindo Cosmologia das cordas e física de astropartículas .	16
A astronomia e astrofísica desenvolveram links significantes de interdisciplinaridade com outros grandes campos científicos . Arqueoastronomia é o estudo das antigas e tradicionais astronomias em seus contextos culturais , utilizando evidências arqueológicas e antropológicas . Astrobiologia é o estudo do advento e evolução os sistemas biológicos no universo , com ênfase particular na possibilidade de vida fora do planeta Terra . O estudo da química encontrada no espaço , incluindo sua formação , interação e destruição , é chamada de Astroquímica . Essas substâncias são normalmente encontradas em nuvens moleculares , apesar de também terem aparecido em estrelas de baixa temperatura , anões marrons , e planetas . Cosmoquímica é o estudo de compostos químicos encontrados dentro do Sistema Solar , incluindo a origem dos elementos e as variações na proporção de isótopos . Esses dois campos representam a união de disciplinas de astronomia e química .	17
Segundo o censo realizado pela Sociedade Astronômica Brasileira , em maio de 2011 havia 340 doutores em Astronomia atuando como pesquisadores no Brasil . Em 2006 foi instituída , no estado do Rio de Janeiro , a data de 2 de dezembro como o Dia do Astrônomo . A data coincide com o aniversário do imperador Dom Pedro II , que era um conhecido incentivador da Astronomia .	18
O termo foi utilizado pela primeira vez em 1856 , numa conferência do filósofo chileno Francisco Bilbao e , no mesmo ano , pelo escritor colombiano José María Torres Caicedo em seu poema Las dos Américas As duas Américas , em português . O termo América Latina foi usado pelo Império Francês de Napoleão III da França durante sua invasão francesa no México 1863-1867 como forma de incluir a França entre os países com influência na América e excluir os anglo-saxões . Desde sua aparição , o termo evoluiu para designar e compreender um conjunto de características culturais , étnicas , políticas , sociais e econômicas .	19
Teotihuacan , atual México , vista da via de entrada dos mortos a partir da pirâmide da Lua . provável que os primeiros povos vieram da sia para a América , cerca de 20 mil anos anteriores à chegada de Cristóvão Colombo ao hemisfério ocidental . Esses habitantes primitivos possivelmente vieram da sia à América , passando por uma ponte feita de terra , na era glacial , ou passando de barco pelo Estreito de Bering , ou , então , atravessando ilha por ilha , nas Aleutas . Dirigindo-se para o sul , se espalharam progressivamente pela América . Esses habitantes de origem asiática , denominados , hoje , de índios americanos , ou ameríndios , vagueavam pela terra , perseguindo os animais para matar e tirando os peixes da água . Depois de uma grande quantidade de gerações na América , novos modos de vida foram desenvolvidos por certas tribos . Ao invés de vaguear , ergueram comunidades agrícolas . Foram os primeiros habitantes que plantaram cacau , milho , feijão , favas , batatas , abóbora e tabaco . Nas regiões em que ótimas colheitas foram conseguidas pelos agricultores que viviam tranquilamente , o crescimento populacional foi acelerado . A cultura maia foi a mais antiga civilização de alto desenvolvimento no ocidente . Teve início na América Central mais de cem anos antes da época em Jesus Cristo nasceu . Por volta de 600 a. C. , os maias criaram um calendário e um alfabeto de ideogramas . Haviam criado , também , estilos arquitetônicos , esculturais , e trabalhos metálicos . Tiveram uma boa estrutura de governo e conheciam muito bem astronomia e agricultura . Durante a invasão espanhola da América Latina , no século XVI , aí prosperavam três grandes civilizações ameríndias a maia , na América Central a qual era influenciada pela tolteca , do México , a partir do século X d. C. a asteca , no México , e a inca no Equador , no Peru e na Bolívia . Essas civilizações exerceram muita influência na prosperidade latino-americana que veio depois dessa contribuição dada pelos primeiros povos da região . O ouro e prata existiam em suas minas , e isso fez com que os dominadores espanhóis conquistassem os povos indígenas na maior rapidez possível .	20
Entre 1500 e 1800 , os colonizadores que vieram da Coroa de Castela e do Reino de Portugal acorreram em grande número para as novas terras . Os proprietários de terras plantavam algodão , frutas e cana-de-açúcar na maioria do território que ocuparam , principalmente na Região Nordeste do Brasil , nas ilhas das Antilhas e na América Central . Grupos de homens agitados que procuravam ouro e prata passavam pela grande área do México até a Bolívia dos dias de hoje . Esquema mostrando como eram transportados escravos em um navio negreiro Por onde percorriam , os europeus obrigavam que boa parte dos nativos trabalhassem para eles , nos campos , nas florestas e nas minas . Trouxeram os primeiros escravos que vieram da frica para a América nos primeiros anos do século XVI . Principalmente , o litoral leste da América do Sul fornecia uma pequena quantidade de atrativos para os colonizadores . Uma pequena quantidade de indígenas habitavam a região e nada restou ouro e prata . Por isso , o litoral leste continuou quase sem exploração até o início do século XVII , na época em que a fertilidade do solo para a lavoura e a pecuária foi verificada pelos europeus . Já se colonizou boa parte do território da América Latina numa época anterior à chegada definitiva dos colonizadores ingleses na América do Norte , mais precisamente onde é hoje o estado mais antigo dos Estados Unidos , a Virgínia em 1607 . A maior parte dos espanhóis e portugueses vindos para a América Latina queria se enriquecer com rapidez e retornar aos países de onde vieram . Porém , em suas expedições existiam , também , artesãos e camponeses , os quais queriam iniciar um novo tipo de vida .	21
Ficheiro Latin America terrain.jpg esquerda miniaturadaimagem 157x157px Imagem de satélite do continente americano . A América Latina está toda localizada no hemisfério ocidental , sendo cortada pelo Trópico de Câncer , o qual atravessa o centro do México , pelo Equador , o qual corta o Brasil , Colômbia , Equador e pelo qual é tocado o norte do Peru pelo Trópico de Capricórnio , o qual corta o Brasil , o Paraguai , a Argentina e o Chile . Está distribuída irregularmente pelos hemisférios norte e sul , devido à extensão da maioria de suas terras ao sul da Linha do Equador . Quase todas as terras da América Latina , estão localizadas na zona climática intertropical uma porção menor está situada na zona temperada do norte e uma área muito grande localiza-se na zona temperada do sul . Tem como limites ao norte , com os Estados Unidos ao sul com a junção das águas salgadas dos oceanos Atlântico e Pacífico a leste , o oceano Atlântico e a oeste , o oceano Pacífico .	22
Ficheiro Mouths of amazon geocover 1990.png direita miniaturadaimagem Imagem de satélite do Delta do rio Amazonas . Como seu relevo é disposto , a maior parte dos rios americanos , e especialmente latino-americanos , drenam no sentido oeste-leste , porque o paredão da cordilheira dos Andes faz eles se dirigirem ao Atlântico . Sendo , geralmente , uma região de grande umidade , a América Latina tem , na maioria de sua extensão , uma grande rede hidrográfica . Sobressaem na América do Norte , o rio Grande , na fronteira Estados Unidos-México na América Central , em Honduras , rio Patuca na América do Sul , em sua parte norte , destacam-se os rios Madalena , na Colômbia , e Orenoco , na Venezuela , que desembocam no mar das Antilhas e pelos quais é banhada uma importante região agropecuária da fachada norte do continente , bem como demais rios principais os quais são projetados em suas porções central e sul , como o grande Amazonas e os rios Paraná , Paraguai e Uruguai , os quais compõem a bacia Platina , desembocando totalmente no oceano Atlântico . Ao contrário da América do Norte , a América Latina não possui imensos lagos , no entanto , essa região tem numerosas lagoas em seu litoral , especialmente na vertente do Atlântico , como a lagoa dos Patos , no Brasil , lagoas de inundação nas planícies Amazônica e do Orenoco e lagos de altitude , como o Titicaca , do Peru até a Bolívia .	23
A Cidade do México é o centro de uma das maiores metrópoles do mundo , com mais de 20 milhões de habitantes . A América Latina possui muitas e diversas culturas , por causa da mistura de línguas , etnias e costumes . Apesar do predomínio do espanhol como língua oficial dos países da América Latina , são falados também português , francês e , em certas regiões , até mesmo inglês e neerlandês . Existem também muitas línguas nativas , merecendo destaque o quíchua , legado dos incas e idioma que se fala no Peru , Equador , Bolívia e Argentina . Línguas latinas oficiais na América Latina A etnia dos habitantes da América Latina é muito variável de país a país . Apesar da intensidade da mestiçagem , existem nações em que a maior parte dos habitantes é branca Argentina e Uruguai , demais em que quase o total dos habitantes é de origem negra Haiti , República Dominicana , e certas onde está fortemente presente o sangue índio Peru , Bolívia , México , Equador e Paraguai . Existem países mestiços de verdade Colômbia e Venezuela e demais como o Brasil , no qual há regiões de população com predomínio de brancos e demais as quais têm a maior parte de negros , mestiços ou índios .	24
A maioria da população professa o catolicismo romano , mas em alguma parte desses países latino-americanos é crescente o número de protestantes , popularmente chamados no Brasil de evangélicos . Há também minorias de judeus , muçulmanos , hinduístas , budistas , espíritas já que o Brasil é o país com o maior número de adeptos dessa religião , e praticantes de cultos afro-brasileiros . Uma pesquisa realizada em toda a América Latina , divulgada em 2014 relatou que o número de protestantes na região já chegava a 19 da população latino-americana , enquanto os católicos estariam em 69 .	25
O Espanhol é o idioma predominante na maioria dos países da América Latina . O Português é a língua oficial somente do Brasil , porém é falada por mais de 34 da população da América Latina e o Francês é falado no Haiti , em algumas ilhas do Caribe e na Guiana Francesa . Ainda há o neerlandês , falado em ilhas caribenhas e no Suriname . Em diversas nações , principalmente as caribenhas , existem os idiomas crioulos , que derivam de línguas europeias e línguas nativas do país , antes da colonização . Em outras , existe uma grande quantidade de falantes das línguas indígenas , como o México , o Peru , a Guatemala e o Paraguai . Nestes casos , é comum os governos nacionais ou regionais reconhecerem estes idiomas não europeus como idiomas oficiais , ao lado do idioma europeu predominante . Por exemplo , o Quíchua é reconhecido no Peru como idioma oficial , ao lado do Espanhol . O Guarani também é idioma oficial no Paraguai juntamente com o Espanhol .	26
Favela em Caracas , Venezuela . Politicamente , a América Latina não é uniformemente apresentada em consideração aos seus aspectos humanos . Há muitos anos , a região era politicamente instável . Mas , nos anos de 1980 , diversos países passaram por um período de ditaduras militares e , atualmente , há eleições livres em quase a América Latina inteira , apesar da existência de focos tensos em certos países onde grupos de tendências políticas de oposição rivalizam pelo poder . Os países da América Latina , em sua totalidade , são subdesenvolvidos , apesar de certas nações serem industrialmente e tecnologicamente avançadas , sendo que o capital transnacional controla a maior parte de tudo isso , como é o caso do Brasil , México e Argentina . Mas a economia da maior parte dos países da América Latina é a agricultura que se baseia nas técnicas primitivas e numa distribuição desigual de terras , pela qual os grandes fazendeiros são privilegiados . Estigmatizada por uma grande quantidade de diferenças entre seus países formadores grupos étnicos , dialetos , corrupção política , infraestrutura , criminalidade , etc. , entendemos que a importância da expressão América Latina está mais para que seja distinta , no continente americano , a parte subdesenvolvida da porção rica e industrializada do que para que fosse salientada uma noção unitária .	27
País Capital Maior cidade Língua Oficial Populaçãohab Territóriokm PIB 2006 Bilhões USDcorrentes PIB 2006 per capitaUSD PPP Buenos Aires Buenos Aires Espanhol La Paz administrativa e Sucre constitucional e judicial La Paz Espanhol , Quíchua eAimará 83 550 Brasília São Paulo Português Santiago do Chile Santiago do Chile Espanhol 451 100 Bogotá Bogotá Espanhol San José San José Espanhol Havana Havana Espanhol San Salvador San Salvador Espanhol Quito Guayaquil Espanhol Cidade da Guatemala Cidade da Guatemala Espanhol Porto Príncipe Porto Príncipe Francês eCrioulo haitiano Tegucigalpa Tegucigalpa Espanhol Cidade do México Cidade do México Espanhol Manágua Manágua Espanhol Cidade do Panamá Cidade do Panamá Espanhol Assunção Assunção Espanhol eGuarani Lima Lima Espanhol , Quíchua Santo Domingo Santo Domingo Espanhol Montevideo Montevidéu Espanhol Caracas Caracas Espanhol	28
O presidente John F. Kennedy com a primeira dama Jacqueline Kennedy , em La Morita na Venezuela em 16 de dezembro de 1961 . Esta foi a primeira visita de um presidente estadunidense àquele país . Nesta ocasião os presidentes Kennedy e Rómulo Betancourt firmaram o acordo da Aliança para o Progresso . Os Estados Unidos tomaram sua primeira posição importante nos assuntos relacionados com o hemisfério ocidental quando formularam a Doutrina Monroe , em 1823 . A Doutrina Monroe colocava as nações latino-americanas sob a proteção dos Estados Unidos . Durante muitos anos , a doutrina causou ressentimentos na América Latina . Este ressentimento diminuiu um pouco na Conferência Pan-Americana de 1933 . Todas as nações assinaram um pacto comprometendo-se a respeitar a Política da Boa Vizinhança apresentada por Franklin Delano Roosevelt . Era um tratado de não interferência que também previa um programa de intercâmbio de professores , estudantes , líderes culturais , conferencistas e tecnocratas . Os Estados Unidos enviaram vários profissionais das áreas tecnológicas à América Latina para ajudá-la a desenvolver seus sistemas de agricultura , indústria e educação , e a melhorar os serviços de saúde . Em 3 de março de 1961 , o presidente John F. Kennedy , dos Estados Unidos , lançou a ideia de um programa de cooperação multilateral destinado a acelerar o desenvolvimento econômico , cultural e social da América Latina . No dia 17 de agosto do mesmo ano , as nações latino-americanas aprovaram a iniciativa do presidente Kennedy e deram-lhe o nome de Aliança para o Progresso . A Aliança foi aprovada em reunião realizada em Punta del Este , no Uruguai . O programa inicial da Aliança para o Progresso , previsto para dez anos 1961-1971 contava com um empréstimo de 20 bilhões de dólares dos Estados Unidos aos países da América Latina . Este empréstimo deveria ser utilizado principalmente em cinco áreas incentivo aos programas de reforma agrária construção de habitações populares mas de boa qualidade redução da mortalidade infantil distribuição equitativa da renda nacional erradicação do analfabetismo . Por volta de 1970 , muitos países latino-americanos já haviam iniciado seus programas de reformas econômicas e sociais , mas pouco havia sido feito para melhorar os níveis de vida .	29
As relações do Reino Unido com a América Latina foram quase que exclusivamente comerciais . Houve disputas de menor importância com alguns países latino-americanos , mas nunca a Grã-Bretanha tentou estender suas possessões além de Belize , da Guiana Inglesa hoje Guiana independente , das ilhas Malvinas , e de algumas ilhas das Antilhas . Os ingleses investiram somas vultosas na América Latina em fábricas de enlatados , utilidades públicas e estradas de ferro , no século XIX e início do século XX . As relações com a França foram , principalmente , de caráter cultural . Alguns latino-americanos , em especial os argentinos , buscavam em Paris inspiração para sua arte . Mas a França pouco participou da vida política das repúblicas , exceto por um breve espaço de tempo , na década de 1860 . Naquela ocasião , Napoleão III enviou um exército ao México e fez de Maximiliano imperador do México . Entre 1864 e 1867 , os mexicanos derrotaram os franceses e executaram Maximiliano . Na Primeira Guerra Mundial , Brasil , Costa Rica , Cuba , Guatemala , Haiti , Honduras , Nicarágua e Panamá , declararam guerra à Alemanha . Apenas o Brasil , porém , enviou um contingente de tropas para a frente de batalha . Três outros países cortaram relações diplomáticas com a Alemanha , mas a Argentina e outras oito nações permaneceram neutras . Após a guerra , a maioria dos países latino-americanos ingressou na Liga das Nações . Na Segunda Guerra Mundial , os latino-americanos recrutaram soldados para dar apoio aos Estados Unidos depois que o Japão atacou a base norte-americana de Pearl Harbor , Havaí , em dezembro de 1941 . Todos declararam guerra às forças do Eixo , embora somente Brasil e México tenham fornecido tropas aos Aliados . Os países latino-americanos tomaram-se membros das Nações Unidas . Formam um dos grupos mais fortes na Assembleia Geral das Nações Unidas .	30
